"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"107","THEMIS",1.02278038053231e-52,1.14045960465782,0.777,0.464,3.12981024246692e-48
"108","ARHGAP15",2.75236918208289e-52,0.774250717133579,0.993,0.976,8.42252493409185e-48
"109","PIP4K2A",2.05886191649481e-50,0.805421852439915,0.957,0.745,6.30032335066578e-46
"110","ACTB",2.14126051926682e-49,-0.933965741491847,0.592,0.868,6.55247131500839e-45
"111","IL32",3.5057474972541e-49,-0.944434640091228,0.355,0.738,1.07279379163473e-44
"112","RPL38",4.02462682291288e-49,-0.798123864283862,0.252,0.692,1.23157605407957e-44
"113","RPL24",1.33824169847066e-48,-0.780398122466098,0.266,0.705,4.09515342149007e-44
"114","A2M",4.28470973010589e-48,0.892533003000245,0.858,0.605,1.3111640245097e-43
"115","RPL6",5.99233241693065e-48,-0.793442228605434,0.34,0.739,1.83371364290495e-43
"116","H3F3B",2.82942431398978e-46,-0.805650615845355,0.482,0.807,8.65832134324013e-42
"117","RPL5",4.59997393682266e-45,-0.746792724070459,0.411,0.79,1.4076380244071e-40
"118","CCL5",1.46083325776847e-44,-1.02906141285104,0.472,0.766,4.47029585209728e-40
"119","LINC02100",2.00519482344731e-44,0.349753950690565,0.238,0.047,6.13609667923111e-40
"120","GZMA",2.27611861265493e-44,-0.829936393603695,0.241,0.65,6.96515056658536e-40
"121","CFL1",7.02368080961267e-44,-0.781628637985357,0.252,0.656,2.14931656454957e-39
"122","RACK1",1.05300155517908e-43,-0.731814424024179,0.191,0.612,3.2222900590035e-39
"123","LINC00612",1.46924210036175e-42,0.588783341479535,0.589,0.252,4.49602775131698e-38
"124","RESF1",4.88525223176476e-42,0.595945814664269,0.684,0.333,1.49493603544234e-37
"125","BTG1",7.49701333402093e-42,-0.761356366558465,0.684,0.881,2.29416105034375e-37
"126","LCP2",1.25668069791203e-41,0.562830592280475,0.592,0.252,3.84556860368061e-37
"127","SLFN12L",1.77693234123104e-41,0.677471901289221,0.837,0.532,5.4375906574011e-37
"128","TRG-AS1",2.4311001779071e-41,0.478369086882503,0.426,0.141,7.4394096544135e-37
"129","HCST",3.84103797551479e-41,-0.757749627077732,0.223,0.615,1.17539603088728e-36
"130","PARP8",4.67047144288786e-41,0.64521007443804,0.986,0.938,1.42921096623812e-36
"131","C11orf65",7.70311179720704e-41,0.38432608051701,0.355,0.103,2.35722924106333e-36
"132","RPLP0",2.08728108997552e-40,-0.757509247770037,0.298,0.671,6.38728886343409e-36
"133","TNFAIP8",3.28163184701986e-40,0.711477460542469,0.713,0.384,1.00421216150655e-35
"134","SATB1-AS1",3.59345361532653e-40,0.610036379761064,0.429,0.15,1.09963274082607e-35
"135","EEF1G",1.05855108422717e-39,-0.720088796473626,0.188,0.58,3.23927217284355e-35
"136","IKZF1",1.6607726151052e-39,0.718173556424083,0.855,0.544,5.08213027948341e-35
"137","UBC",3.86286516367988e-39,-0.690806603773053,0.245,0.632,1.18207536873768e-34
"138","LINC00861",4.18771453403578e-39,0.634182556162479,0.553,0.241,1.28148252456029e-34
"139","ATM",1.51373356542649e-38,0.683371457532247,0.901,0.687,4.63217608356161e-34
"140","CYBA",1.93462333197127e-38,-0.748866303356338,0.397,0.711,5.92014085816529e-34
"141","CD52",5.94791661905882e-38,-0.760691601104366,0.348,0.683,1.82012196459819e-33
"142","MDFIC",6.21191277531439e-38,0.725471924609933,0.507,0.219,1.90090742837396e-33
"143","CD3D",1.00605910899971e-37,-0.685944097833958,0.17,0.563,3.07864147945003e-33
"144","GNLY",1.99651702148532e-37,-1.66994260184759,0.457,0.72,6.10954173744722e-33
"145","MYL12A",2.09800444863385e-37,-0.693163607457329,0.266,0.632,6.42010341326443e-33
"146","PAG1",2.23786694792962e-37,0.653600887146985,0.777,0.46,6.84809664735943e-33
"147","IPCEF1",3.40423744132331e-37,0.433033062120038,0.401,0.136,1.04173069941935e-32
"148","MBNL1-AS1",3.69738455992459e-37,0.268681779756933,0.199,0.04,1.13143664918252e-32
"149","SYNE2",5.19291558043167e-37,0.617764738483805,0.972,0.905,1.58908409676789e-32
"150","S100A6",5.82360643457816e-37,-0.711590642652315,0.22,0.594,1.78208180504526e-32
"151","MT-ND4",9.88342972932898e-37,-0.607295051001433,0.947,1,3.02442833147196e-32
"152","MT-ND2",2.04069783911598e-36,-0.626292831606366,0.94,0.998,6.24473945747881e-32
"153","RASA1",4.91260269615801e-36,0.58752449607039,0.592,0.28,1.50330555105131e-31
"154","LDAH",6.97101510221617e-36,0.303100972128126,0.216,0.047,2.13320033142917e-31
"155","CATSPERB",1.4019877412713e-35,0.448754358009324,0.426,0.155,4.2902226870643e-31
"156","IKZF2",2.91268043417666e-35,0.935600775145662,0.493,0.219,8.913093396624e-31
"157","SAMD3",3.98984846631304e-35,0.732802262584916,0.723,0.433,1.22093352917645e-30
"158","H3F3A",4.78697927858411e-35,-0.682117047373455,0.408,0.731,1.46486352903952e-30
"159","ARHGAP25",5.03688881045486e-35,0.552243928328713,0.613,0.302,1.54133834488729e-30
"160","SNTB1",3.89540509606367e-34,0.582620674580447,0.461,0.183,1.19203291344644e-29
"161","CST7",8.03847816803983e-34,-0.678074376251679,0.199,0.557,2.45985470420187e-29
"162","MT-ND5",8.71201695832603e-34,-0.580295054690503,0.865,0.997,2.66596430941735e-29
"163","PZP",1.26604160215952e-33,0.695112319501252,0.777,0.518,3.87421390676835e-29
"164","TNFAIP3",1.75427350247344e-33,-0.91092832367238,0.511,0.758,5.36825234491896e-29
"165","RPL22",5.80101705208178e-33,-0.599594306651087,0.199,0.564,1.77516922810755e-28
"166","ANKRD44",1.04215329646521e-32,0.564295929032191,0.965,0.885,3.18909330251319e-28
"167","AC006369.1",3.39136274379493e-32,0.417736989514468,0.319,0.103,1.03779091322869e-27
"168","SH3BGRL3",3.49356909168889e-32,-0.646483375788978,0.174,0.539,1.06906707774772e-27
"169","AL450352.1",8.17452681270379e-32,0.300737217750601,0.121,0.018,2.50148694995549e-27
"170","RUNX2",9.92476380597422e-32,0.737009961100703,0.677,0.393,3.03707697226617e-27
"171","ARHGEF3",1.85595952118065e-31,0.616229725525914,0.532,0.249,5.67942173076492e-27
"172","TOMM7",5.74123307735148e-31,-0.581923242934346,0.156,0.508,1.75687473400033e-26
"173","ANXA1",5.76020789062468e-31,-0.803685911244591,0.262,0.593,1.76268121661006e-26
"174","MTAP",6.28565868973321e-31,0.396865818244709,0.358,0.124,1.92347441564526e-26
