"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"184","SETX",0,0.41937851998443,0.599,0.339,0
"185","RPL7A",0,-1.06520446134585,0.19,0.742,0
"186","FCN1",0,0.725377353425741,0.323,0.04,0
"187","PLXDC2",0,1.37773630937779,0.333,0.084,0
"188","ALOX5",0,0.358935014296661,0.256,0.059,0
"189","IPMK",0,0.304661423826018,0.263,0.103,0
"190","PSAP",0,0.264582035882663,0.428,0.205,0
"191","LRMDA",0,1.20406816783961,0.3,0.06,0
"192","RPS24",0,-1.15562969408779,0.261,0.821,0
"193","PTEN",0,0.442254434730787,0.611,0.376,0
"194","ENTPD1",0,0.413124713475549,0.234,0.043,0
"195","ENTPD1-AS1",0,0.402619068757788,0.356,0.151,0
"196","SHTN1",0,0.315634550277607,0.175,0.02,0
"197","PTPRE",0,0.604661527351685,0.354,0.143,0
"198","RPLP2",0,-1.83037968485813,0.325,0.951,0
"199","KCNQ1OT1",0,0.323738882426056,0.232,0.071,0
"200","RPL27A",0,-1.54203497703295,0.235,0.895,0
"201","SBF2",0,0.641699989871013,0.52,0.296,0
"202","MTRNR2L8",0,0.785972552909284,0.662,0.192,0
"203","MICAL2",0,0.317422635897906,0.239,0.08,0
"204","RPS13",0,-1.28157348695408,0.19,0.805,0
"205","PHF21A",0,0.525732285132208,0.553,0.319,0
"206","MS4A6A",0,0.591038934447342,0.243,0.026,0
"207","AHNAK",0,0.389880541657788,0.58,0.342,0
"208","EEF1G",0,-0.838124432898443,0.139,0.596,0
"209","FAU",0,-1.41445775197463,0.239,0.869,0
"210","NEAT1",0,1.01218476051448,0.802,0.62,0
"211","CFL1",0,-0.682335692351559,0.181,0.524,0
"212","RPS3",0,-1.59547122726896,0.237,0.896,0
"213","JAML",0,0.355014407156592,0.304,0.104,0
"214","CD3D",0,-0.475756918109617,0.146,0.401,0
"215","RPS25",0,-1.36144718981562,0.257,0.859,0
"216","NRGN",0,0.293811606976514,0.191,0.011,0
"217","FLI1",0,0.693361201010689,0.682,0.306,0
"218","CLEC12A",0,0.805737734421085,0.296,0.047,0
"219","CLEC7A",0,0.547781882210422,0.254,0.033,0
"220","ETV6",0,0.536405022089842,0.568,0.346,0
"221","PLBD1",0,0.25641384906301,0.164,0.025,0
"222","FAR2",0,0.333191109072555,0.217,0.067,0
"223","FGD4",0,0.577149189552794,0.257,0.034,0
"224","CPNE8",0,0.43148975302941,0.273,0.089,0
"225","LRRK2",0,1.02824617125817,0.321,0.056,0
"226","PFDN5",0,-0.444974904061874,0.152,0.423,0
"227","RPS26",0,-1.23782421133753,0.204,0.793,0
"228","RPL41",0,-2.08668228099507,0.383,0.975,0
"229","MYL6",0,-0.522355328868639,0.197,0.467,0
"230","NACA",0,-0.672447620770169,0.176,0.557,0
"231","LRP1",0,0.269449908737585,0.194,0.024,0
"232","USP15",0,0.636958389874251,0.891,0.77,0
"233","IRAK3",0,0.795853406817845,0.277,0.045,0
"234","LYZ",0,0.589117843522142,0.536,0.067,0
"235","TMTC2",0,0.535303421179403,0.268,0.091,0
"236","ATP2B1",0,0.769496969280076,0.673,0.48,0
"237","BTG1",0,-0.75262387828297,0.565,0.839,0
"238","PLXNC1",0,0.330454973693588,0.302,0.12,0
"239","WASHC4",0,0.449376846837663,0.475,0.21,0
"240","RPL6",0,-0.864996494622681,0.272,0.723,0
"241","MED13L",0,0.544118117100875,0.826,0.649,0
"242","RPLP0",0,-0.802702321494002,0.159,0.594,0
"243","UBC",0,-0.570774565402065,0.177,0.495,0
"244","GLT1D1",0,0.329792287968249,0.175,0.017,0
"245","RPL21",0,-1.44168318958023,0.302,0.889,0
"246","TPT1",0,-1.31691258261133,0.317,0.876,0
"247","CPB2-AS1",0,0.372211141974892,0.292,0.096,0
"248","DLEU2",0,0.781252746559327,0.576,0.276,0
"249","WDFY2",0,0.511758775143974,0.506,0.283,0
"250","TNFSF13B",0,0.328879347988542,0.225,0.063,0
"251","ATP11A",0,0.382566268117922,0.354,0.147,0
"252","RPS29",0,-1.62444227707717,0.38,0.944,0
"253","RPL36AL",0,-0.486560236849183,0.108,0.406,0
"254","RTN1",0,0.588830677132217,0.217,0.021,0
"255","NUMB",0,0.570925892442707,0.473,0.225,0
"256","SPTLC2",0,0.419170180650663,0.357,0.146,0
"257","CALM1",0,-0.780544515268191,0.314,0.665,0
"258","SLC24A4",0,0.291462737706225,0.15,0.016,0
"259","HSP90AA1",0,-0.464404936012843,0.287,0.525,0
"260","TNFAIP2",0,0.408890269719764,0.225,0.026,0
"261","SLC12A6",0,0.366998872894141,0.44,0.227,0
"262","SERF2",0,-0.469243350483929,0.187,0.452,0
"263","B2M",0,-1.54249612672504,0.95,0.997,0
"264","DMXL2",0,0.983922655757222,0.314,0.063,0
"265","VPS13C",0,0.4376761748554,0.839,0.648,0
"266","RPL4",0,-0.636229499208743,0.201,0.558,0
"267","RPLP1",0,-1.83132045146512,0.443,0.963,0
"268","RPS17",0,-1.29897003258741,0.19,0.807,0
"269","ZNF710",0,0.260376337959392,0.215,0.067,0
"270","MEF2A",0,0.639202747328798,0.615,0.339,0
"271","RPS2",0,-1.73889879305227,0.392,0.944,0
"272","IL32",0,-0.625837609570544,0.202,0.452,0
"273","CIITA",0,0.255572022709353,0.192,0.051,0
"274","CPPED1",0,0.532231256447584,0.269,0.053,0
"275","RPS15A",0,-1.58583421893301,0.246,0.903,0
"276","AC009093.2",0,0.323776001659709,0.292,0.121,0
"277","ZFHX3",0,0.260455064011604,0.184,0.046,0
"278","PLCG2",0,2.07801102251048,0.996,0.715,0
"279","COX4I1",0,-0.527992492389767,0.11,0.434,0
"280","CYBA",0,-0.609702405003992,0.316,0.583,0
"281","RPL13",0,-1.98767118018786,0.412,0.972,0
"282","PFN1",0,-0.97340606702811,0.207,0.65,0
"283","RPL26",0,-1.2200746369664,0.236,0.824,0
"284","GAS7",0,0.433009430837264,0.271,0.087,0
"285","RPL23A",0,-1.36247192953848,0.271,0.869,0
"286","RPL23",0,-1.26433805756923,0.184,0.801,0
"287","RPL19",0,-1.67428070056986,0.232,0.913,0
"288","EIF1",0,-1.00281780545806,0.346,0.805,0
"289","RPL27",0,-0.921029778491497,0.15,0.656,0
"290","VMP1",0,0.691107639965732,0.523,0.333,0
"291","USP32",0,0.438873640930026,0.414,0.175,0
