"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"88","TMSB4X",3.05832687366164e-29,-1.8595883670741,0.529,0.964,9.35878606609198e-25
"89","TMSB10",4.17900670481275e-28,-1.65555228537695,0.441,0.931,1.27881784173975e-23
"90","HLA-B",2.93619316830858e-27,-1.30547682207621,0.574,0.949,8.9850447143411e-23
"91","ACTB",3.32583917753858e-27,-1.8314468889213,0.647,0.973,1.01774004671858e-22
"92","RPL14",4.74664885744605e-27,-1.24004872405532,0.206,0.855,1.45252201686706e-22
"93","RPL8",6.59526967497279e-27,-1.45810622117073,0.132,0.813,2.01821847323842e-22
"94","CFL1",5.33997385657315e-25,-1.21672487067946,0.132,0.812,1.63408539984995e-20
"95","CD74",3.59708228073789e-24,-1.27229784787371,0.971,0.994,1.1007431487286e-19
"96","EEF1B2",4.36247026448999e-24,-1.10211629020973,0.088,0.759,1.33495952563658e-19
"97","EIF1",1.79332906692893e-23,-1.09253739815619,0.25,0.824,5.48776627770922e-19
"98","MTRNR2L8",2.4692432796718e-23,0.822949592301104,0.618,0.168,7.55613136012368e-19
"99","RPL4",2.78165030970094e-23,-1.05940655611936,0.162,0.787,8.51212811271584e-19
"100","TYROBP",4.82247121073726e-22,-1.07262783447598,0.074,0.71,1.47572441519771e-17
"101","MYL6",8.53527440752588e-22,-1.07704300219603,0.206,0.789,2.61187932144699e-17
"102","HLA-A",3.44503971989413e-21,-1.21080877964792,0.309,0.822,1.0542166046848e-16
"103","SERF2",4.76237222829244e-21,-0.942674045611879,0.162,0.757,1.45733352557977e-16
"104","HLA-C",1.13547594710847e-20,-1.1460451557427,0.206,0.777,3.47466994574662e-16
"105","MYL12A",1.40035933099106e-20,-0.949246699535365,0.147,0.733,4.28523958876575e-16
"106","OAZ1",3.35561514451467e-20,-0.919052602740993,0.103,0.697,1.02685179037293e-15
"107","S100A6",2.09775765304441e-19,-1.24547676877418,0.176,0.733,6.41934819408119e-15
"108","H3F3A",4.79831114431977e-19,-0.96994065032707,0.529,0.896,1.46833119327329e-14
"109","ATP5F1E",8.33396021697386e-19,-0.897589091060202,0.162,0.714,2.55027516599617e-14
"110","UBC",8.8156145345914e-19,-0.888720163711588,0.103,0.682,2.69766620373031e-14
"111","CST3",1.56400769961846e-18,-1.60301715641452,0.559,0.92,4.78601996160246e-14
"112","COX4I1",1.98314188693861e-18,-0.930008411978079,0.088,0.657,6.06861248822084e-14
"113","FLI1",2.21365574442691e-18,0.750536647157816,0.706,0.279,6.77400794352078e-14
"114","MBNL1",3.14294749850848e-18,1.02911330141849,1,0.907,9.61773364018578e-14
"115","GABARAP",7.4893394457256e-18,-0.913597841799198,0.176,0.707,2.29181276378649e-13
"116","H3F3B",8.149782865913e-18,-0.826576901995122,0.544,0.911,2.49391505479804e-13
"117","RPS10",1.21886788119393e-17,-0.802393673706218,0.029,0.589,3.72985760324154e-13
"118","PPIA",1.51821049363384e-17,-0.843646823205076,0.235,0.739,4.6458759315689e-13
"119","HINT1",3.66419083517002e-17,-0.804556635192161,0.118,0.664,1.12127903747038e-12
"120","HIST1H1E",4.40695525541646e-17,0.563523794800813,0.441,0.109,1.34857237770999e-12
"121","EEF1D",8.31741438996239e-17,-0.763337190658731,0.059,0.607,2.54521197747239e-12
