gene	GLDS-100.16.female.Eye.ISS.37	GLDS-101.16.female.Muscle.ISS.37	GLDS-102.16.female.Kidney.ISS.37	GLDS-103.16.female.Muscle.ISS.37	GLDS-104.16.female.Muscle.ISS.37	GLDS-105.16.female.Muscle.ISS.37	GLDS-137.18.female.Liver.ISS.37	GLDS-161.16.female.Adrenal.ISS.37	GLDS-162.16.female.Eye.ISS.37	GLDS-163.16.female.Kidney.ISS.37	GLDS-168.16.female.Liver.ISS.37	GLDS-194.18.female.Eye.ISS.40	GLDS-238.9.male.Skin.Earth.30	GLDS-239.9.male.Skin.Earth.30	GLDS-240.30.female.Skin.Earth.30	GLDS-241.30.female.Skin.Earth.30	GLDS-242.10.male.Liver.Earth.33	GLDS-243.32.female.Skin.Earth.30	GLDS-243.32.female.Skin.ISS.60	GLDS-244.32.female.Thymus.Earth.30	GLDS-244.32.female.Thymus.ISS.60	GLDS-245.36.female.Liver.Earth.30	GLDS-245.36.female.Liver.ISS.60	GLDS-246.36.female.Spleen.Earth.30	GLDS-246.36.female.Spleen.ISS.60	GLDS-247.36.female.Colon.Earth.30	GLDS-247.36.female.Colon.ISS.60	GLDS-248.36.female.Lung.Earth.30	GLDS-248.36.female.Lung.ISS.60	GLDS-253.11.female.Kidney.ISS.25	GLDS-253.11.female.Kidney.ISS.75	GLDS-254.11.female.Skin.ISS.25	GLDS-254.11.female.Skin.ISS.75	GLDS-98.16.female.Adrenal.ISS.37	GLDS-99.16.female.Muscle.ISS.37
1700123O20Rik	-0.14424723650735538	-0.011840120397176133	0.010310824557248258	-0.206595940150796	-0.14104009530698203	-0.20276442923957383	0.09485170044159467	-0.3277885232793156	0.1510572517792657	-0.23374765031916095	-0.09251415043847751	-0.10436226492667323	-0.2046029112165991	-0.14043574359112548	-0.043863917542084005	0.23266539045824208	-0.12933995438029508	-0.17539118812129023	-0.07399816092620905	-0.13044665063841987	-0.2140107625521115	-0.1425001595863072	-0.15122671404770227	-0.0035186410717778175	-0.018224404839985886	-0.06330955276124367	-0.011538734924497918	-0.07755371094526647	-0.0532697442221211	-0.053410858226436854	-0.1607040123847149	-0.15559084155694378	-0.24634893125537274	-0.3248074146670133	0.2439666603196996
1810037I17Rik	-0.47021395290932194	-0.15055352008913675	-0.027009955141897912	-0.11946042401321288	-0.5386399272346694	-0.3614212548452481	-0.03227974049110296	-0.2583498737021228	0.534744190882131	-0.23251448687326692	-0.20895537924570456	-0.3254521421139866	-0.32009912009146757	-0.5845646421735254	0.12351505825664251	0.040966103277885905	-0.4701005625756377	-0.029654414475284628	0.1419114790128424	0.06865727036066212	-0.04723921888518785	-0.1378754102975559	-0.29177831492273565	-0.07793085332287471	0.10465032829333942	-0.12537779997774304	0.03927161203073618	-0.150811111125776	0.1582831588620441	-0.13620231854084108	-0.20796204061124574	-0.30763820836015376	0.19885523641698666	0.006728144223410848	-0.18421562458358026
1810073O08Rik	0.9128331495470504	0.20512061429013448	NA	0.9241430379947991	-0.34025010780390047	-0.6193221436854109	-0.6632899376446768	-0.5622219579611445	0.410894777314853	-0.9201588616544173	0.5770112715560837	-1.2354573667092883	-0.783757397594591	-0.3719682667983106	0.02766696114967844	-0.04279692721507791	NA	-0.5171897283718789	-1.654941809023752	0.4922081051551415	0.7382801710889809	-0.9104182570446936	0.05306203635784202	0.11303504166258753	-0.4413668220939733	-0.14814570185748735	-1.063199313494719	0.20591082252904427	-1.0621996082558696	-0.20278352246713938	-0.4750416622917111	-0.41190848280832076	-1.1939324412838912	-0.6021978666889405	0.21959362694254733
2310014F06Rik	0.09816221976590392	0.13362146344898101	0.16103911402203736	0.37089009978204057	0.7638036702748697	0.6184947053245022	-0.02013022387407812	-0.5064404794935922	0.4656312488632182	0.024924504637238873	0.8416081908620363	0.13239834628568867	1.0987936565744343	0.5926122786283449	-0.019983958098033276	-0.4949360159779679	-0.4618455568083829	0.5005988136621827	0.7662739393931702	0.3643035161146026	0.4876299022232028	0.7299901943106988	-0.0271754823541176	-0.0031650645118314613	-0.3263714114116166	-0.015653132329193	-0.00600259560117809	0.13366158584494658	0.32611931846769066	0.10645704202478164	-0.20146598991060805	0.06433028583887075	0.26290022536577545	-0.2907669471878897	0.7232315312461036
2310022B05Rik	-0.15690258242121227	0.21601144461342695	0.0226541077624914	0.24132619570673683	-0.42039851348024987	0.2988111680620577	-0.10688089002158664	0.023901425370276	0.01125396159664309	0.27701133229340863	0.06358867553387018	0.32681974646742057	-0.2805475431078282	-0.1211247932440869	0.49314274129285374	0.05720798081379324	0.18939632444327342	-0.10537757224526405	-0.1299441147491811	0.3545394511438743	0.3157284876787723	-0.03823704174283689	0.336644947074108	0.20202153117126828	0.453109974809941	0.04933967778174279	0.31364787804041383	0.06155133962796885	0.0996389186979897	0.03793275753035877	0.13502169821933535	-0.18542464431245262	0.08163058196929783	0.22529766430898693	0.6715810386166574
2310061I04Rik	-0.24543847921783493	0.2882344577627929	-0.11107759807854505	0.11666252845280438	0.24654537370640645	0.0361010450844712	0.03181094864035701	0.29039469254184685	0.07670690922065324	0.2673053292218778	0.09646034137410402	0.2664779142690111	0.4803389481300255	-0.1574031454492152	0.01620064665583464	0.10894139240295259	-0.1866100671010681	-0.006651300497943562	0.14465447333867956	0.2824052904882537	0.05038056997799846	0.01492701105075684	0.14068987701350924	0.15960155500662282	0.20275917910737068	-0.04153462394418922	0.27439515057318564	0.01783733825008649	-0.07386560625597369	0.0403852201623011	0.08166165587281841	-0.08355655682723208	0.11732173105299815	-0.14992619367608997	0.39684106853293205
2410002F23Rik	0.08802208418189784	-0.432410835231986	-0.12655180931363358	-0.10863623579212091	-0.4331223832856207	-0.5707267981833447	-0.012493997605000149	0.1137686386327077	-0.040044032264816634	0.13322826792569295	0.09551652312275893	-0.2054071414650353	-0.255308308204079	-0.22210349680371383	0.24196337282133548	-0.14221855424244295	-0.3364186180453218	-0.08172943240775267	-0.5539918175043375	-0.12260821134054911	-0.14059405784299225	0.29015832547668974	-0.0778947113619541	-0.04589799971842389	-0.20321044603159918	0.050975038879676846	-0.1856391537938936	0.11306080839724805	-0.043638954732075685	-0.08028426080288446	-0.07368599879685614	-0.17125709997842103	-0.12687615611052247	0.1771337445216618	-0.18526738440078364
2410006H16Rik	-0.5650587417638623	-0.46659989927183654	-0.5532910074784465	-0.6258807855317113	-0.28352245627859024	0.34513228160290177	0.21265366376687708	-0.3752453846357928	0.4886673949015024	-0.4139494826232986	-0.3546348424372229	-0.16024929592162138	0.6893270385734566	0.401777370194388	0.10021435199615608	0.32899532331419185	-0.40021740694394425	-0.22399364701344157	-0.4734436641216157	-1.7083008252692514e-4	-0.18238821322620502	-0.20542134162120182	-0.6263793342238125	0.044613857461228146	-0.24205856168853268	-0.2350885259968919	-0.23398502144343003	-0.2630755498037424	-0.002295736637598019	-0.10390904196939253	-0.07917670863524254	-0.16968169973268732	-0.13876856125180292	-0.6337602183147658	-0.41094585632504876
2510009E07Rik	0.13017970795692968	0.09620056697410863	-0.0046887661311090945	-0.0064924461924873045	0.20878465786763872	-0.07496900765947934	-0.04518467560906289	0.02435260108874085	-0.1199621565124328	0.09830205623215547	0.028895067501788142	0.21051434570298755	0.12276928034233248	-0.24954300147876565	-0.10715706377724749	0.09493471290388801	-0.16782862465623138	0.15333243289327375	0.26872555406584137	0.13603734338198673	0.12647699710571295	0.08227857099274971	0.21143173692925482	0.04095530732542552	0.14595112608885713	0.07929710116163127	0.007386686287781025	0.12700468935826467	0.045362690565804956	0.010560514518593989	0.09333283157115818	0.19317316899511233	0.10383056413934481	0.04570955014234218	0.22717837547088807
2610035D17Rik	0.07940521713245556	-0.9149495907255696	-0.4181010485419968	-1.1501474490730932	-0.32955683331052094	-0.9659712850419641	-0.8451927792433913	0.20200531911147632	-0.02283891548871624	0.35442834891721725	-0.2851843402101701	-0.16953204356083096	0.6410169378828231	0.6338770169806329	0.6742178406594178	0.012506466242965971	-0.25365137357245615	-0.40296411939519733	-0.2776781141205875	-0.24562468425859937	-0.27064899611833704	-0.3373602818881423	-0.4761211889112854	-0.7501837356367135	-0.6069770607513466	-0.9581323814589974	0.11717772260083437	-0.40804329528697714	-0.08222721233263774	0.030372434614997997	0.2021261857069254	-0.03787422155808506	0.020359542845729092	-0.18170641610856889	-0.8663259591333005
