gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Pogz	1426.1155294775463	0.029920582951140064	0.017216118252785104	1.7379401391077063	0.08222136204763301	0.28003739088323437
Pola1	852.1023513976849	-0.013332798351576991	0.029709160481857646	-0.4487773513397953	0.6535922785392134	0.8394026839030763
Pola2	465.9265063486012	-0.007293063206859181	0.026423972039730445	-0.2760017758077214	0.7825467022955848	0.9083615567187142
Polb	1211.608066799902	-0.026089778559438795	0.018893594919471134	-1.3808795346062757	0.16731600345312495	0.4161875685620054
Pold1	354.58021355115653	0.05358857999128691	0.05484969539651173	0.9770077956475758	0.32856529298964887	0.5968059104812816
Pold2	394.92954657616133	0.048474550613657755	0.049266857853879915	0.9839180480603805	0.32515580897142743	0.5928310914324224
Pold3	798.6691675658598	-0.024073376126443877	0.015074738915485227	-1.5969348631116242	0.11028022751702687	0.32881719213792415
Pold4	459.2944738459218	-0.0020546557251447384	0.04056804916462384	-0.05064714146857325	0.9596066975429944	0.9863260140969375
Poldip2	2313.372700380918	-0.02781074224905692	0.02446634954435135	-1.1366935716602522	0.2556664075772401	0.5224635020334842
Poldip3	2515.9816677721146	-0.027873555724316143	0.021078239259065146	-1.3223853938525025	0.18603985009283397	0.44110449743969854
Pole	408.31347829117436	-0.03850404418906141	0.03756355226643745	-1.0250373531223318	0.3053455631040261	0.5737737552526396
Pole2	104.31825784610703	-0.08283588139663389	0.03420973845666295	-2.421412297599725	0.015460331132361498	0.10133916628752909
Pole3	853.7563910325407	-0.08728200780937714	0.01744291430480536	-5.00386611343563	5.619179156588325e-7	9.063527861830429e-5
Pole4	1010.114662660141	-0.02417477387481428	0.024000690307866095	-1.007253273331523	0.3138130782186581	0.5819155641122852
Polg	2429.5229019964977	0.0203339915437854	0.021582563698311324	0.9421490341935784	0.3461163430175829	0.6124096399130685
Polg2	277.3287538245743	0.007602372622307165	0.022425856298824428	0.33900032716724776	0.7346094836983107	0.8834728846110361
Polh	790.0132259227315	-0.028977077841449872	0.017205155813245075	-1.684208975262078	0.09214128930450888	0.29821292726005955
Poli	222.15300971724972	-0.03783101152129578	0.019517539554991307	-1.938308433535163	0.05258560411013615	0.21715371316104962
Polk	720.0371919272766	-0.009584722437596957	0.024084471916528356	-0.39796274009310073	0.6906576512818237	0.8603623059383788
