Gene name	Mouse gene name
IGKV2OR2-8	
IGKV1OR2-11	
MIR6881	
LINC00470	
UBTFL6	
COX5B	
BNIP3P43	
UBL7	
N6AMT1	N6amt1
ACTR1B	
UBL7-DT	
C2orf92	
PCCA-AS1	
FGF7P2	
VENTXP2	
ANKRD30BP1	
LINC00427	
LINC00543	
VN1R8P	
GTF2IP2	
ATP6V1G1P7	
LINC02341	
FOXO1	Foxo1
LINC01674	
ARF4P4	
STK24-AS1	
ADAMTS5	Adamts5
LINC00381	
COG3	Cog3
RNU4-8P	
ZNF415P1	
ANKRD36B	
COX6CP3	
SNRPGP13	
LINC01670	
MIR3648-2	
MIR6724-2	
MIR6724-3	
HMGN1P36	
LINC01254	
RNU7-96P	
RNA5-8SN3	
MIR6724-4	
ZAP70	
RNA5-8SN1	
MIR6724-1	
MIR3648-1	
RNA5-8SN2	
SNORA70	Gm25862
MIR3118-1	
YES1	Yes1
RNU6-286P	
RN7SL52P	
RNU6-113P	
RN7SKP147	
RNU6-1326P	Gm22503
RNU6-772P	Gm23434
RNU2-55P	
RNU1-139P	Gm25184
RNU4-45P	
MIR3156-3	
RN7SKP236	
RN7SL163P	
MIR155	Mir155
MIR6130	
RNA5SP489	
MIR4759	
MIR548X	
RNU6-614P	
RN7SL740P	
SNORA62	Gm54861
SNORA80A	
C2CD2	C2cd2
LINC01309	
SRGNP1	
GAPDHP34	
LRCH1	Lrch1
RPS4XP18	
CTIF	
PPIAP57	
MIR4743	
PPP4R1-AS1	
BOD1P2	
ZBTB21	Zbtb21
KLHL14	Klhl14
LINC00428	
PTMAP5	
LINC01478	
LINC01048	
SCEL-AS1	
UMODL1-AS1	
COX5BP6	
LINC01038	
NXT1P1	
ZNF295-AS1	
FTLP8	
CDADC1	Cdadc1
C13orf46	
RASA3	
LINC00160	
RASA3-IT1	
RPL34P3	
EZH2P1	
MIR802	
RPS20P1	
PPP1R2P2	
RPL23AP3	
RIMKLBP1	
SETD4-AS1	
RNU6-992P	
CBR1-AS1	
CBR1	Gm5678
CBR1	Cbr1
ZDHHC4P1	
LINC00430	
LINC01543	
LINC01080	
DDX6P2	
DIS3	Dis3
BNIP3P3	
PGDP1	
MEMO1P1	
RPS9P1	
CASC20	
CBR3	Cbr3
AQP4-AS1	
ADRA1D	Adra1d
RPL3P1	
RSPO4	Rspo4
RUNX1	Runx1
DEFB129	Defb23
ANGPT4	Angpt4
LTN1	
NDUFV2	Ndufv2
RPL23P2	
RWDD2B	
SIRPG	Sirpa
SIRPG	Sirpb1b
SIRPG	Sirpd
SIRPG	Sirpb1c
SIRPG	Gm5150
SIRPG	Sirpb1a
USP16	
CCT8	
FAM230C	
KMT5AP1	
MAP3K7CL	
DYNLT3P1	
EVA1C	Eva1c
SHLD1	Shld1
RPL12P9	
U3	
GAPDHP14	
LINC01706	
SLX4IP	Slx4ip
MPPE1	Mppe1
EEF1A1P34	
DEFB125	Defb26
NKX2-2	Nkx2-2
BMP2	Bmp2
LINC00351	
LINC02336	
PDYN	Pdyn
COG6	Cog6
EXOSC3P1	
	Gm26326
RNA5SP490	
LINC01428	
CFAP298	Cfap298
FAM110A	Fam110a
INSM1	Insm1
